step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,haptic-khipu,0.31340395190693643,0.4081819574470925,5.888671875000002,,How were Khipus a source of communication for the Inca?,"The object ""Khipus"" were strands of knots that each held significant meaning to the Incas in order to communicate. The color of the threads, the arrangements, and knot organize different type of information.",,Learn more,telar-final-project-learn-more.md,,,,,
2,haptic-khipu,0.5640282754261744,0.4281133618518143,3.391875,,What did Khipus Reveal of Inca's society?,"Khipus gave valuable information to Inca society including amount of tribute, warriors, births/deaths, and populations of villages that made up the enormous Inca society. ",,,,,,,,
3,haptic-khipu,0.49923543091832506,0.4309991102073142,5.0878125,,Who had the power to interpret and read Khipus?,"A group of Incas named ""quipucamayus"" were specially trained to be responsible of the reading and interpreting of the khipus. ",,Learn more,telar-final-project-step3-layer1.md,,,,,
4,haptic-khipu,0.48318504050925926,0.6313363573340981,2.25,,"How did it help the Inca government maintain power? ","Khipus helped organize the Inca government about its people and resources. From this the Inca empire was able to manage its large and complex society. ",,,,,,,,
5,haptic-khipu,0.4999999999999998,0.5000000000000008,1,,What happens when writing systems and societies change?,"The Khipus worked to preserve traditions and historical information, while alphabetic writing provided a different way of storing information. ",,,,,,,,
6,,,,,,Nueva Coronica,"The Nueva corónica shows how writing changed under Spanish colonial rule while allowing Guamán Poma to preserve Andean knowledge and challenge colonial power.
",,,,,,,,
7,,,,,,Writing in a Changing Colonial World,Guamán Poma adapted his writing to a society transformed by colonization.,,,,,,,,
8,,,,,,Nueva Corónica 2,,,,,,,,,
9,,,,,,Writing Preserves Andean Knowledge,"By recording Andean systems of land and authority, Guamán Poma preserved knowledge within a society being transformed by Spanish colonialism.",,,,,,,,
10,,,,,,Writing Can Challenge Power,Guamán Poma uses writing not only to preserve Indigenous experiences but also to question the people who held colonial power.,,,,,,,,
11,,,,,,Preservation Is a Form of Power,The survival of the Nueva corónica demonstrates that preservation itself can be a form of power.,,,,,,,,
12,,,,,,Florentine Codex,,,,,,,,,
13,,,,,,"Culture Preservation ",Sahagun worked with the indigenous Nahua people to preserve their culture and knowledge.,,,,,,,,
14,,,,,,Pictorial records,"Nahua and Aztec people used images to tell stories, and keep records of their society and knowledge they held about nature and deities.",,,,,,,,
15,,,,,,"A different form of writing ","The Florentine Codex has many stories that are told from festivals to rituals and many more, using only images.",,,,,,,,
16,,,,,,Images + Writing?,"The Florentine Codex was made by a team effort, that involved Sahagun and the Nahua people. Making the combination of Images and Writing.",,,,,,,,
17,,,,,,The importance of images,Images in the Florentine Codex were more than just illustrations to the Nahua people.,,,,,,,,
18,,,,,,Simon Rodríguez: The Significance of Education and Power,Vision for the Preservation of Writing,,,,,,,,
19,simon-rodriguez-prodromo,0.39154902475231945,0.47749818751199385,2.16,,Why did Rodríguez believe writing and education were the route to empowerment?,"Rodríguez believed writing and education were essential for empowerment because they allow people to express their thoughts and understand their environment. He thought that when individuals become educated, they can better recognize social injustices and fight against them. For Rodríguez, education was not just about learning facts; it was a way for marginalized communities—like black, indigenous, and mixed-race people—to gain the skills needed to improve their lives. He saw the lack of education as a barrier that kept these groups oppressed, making it difficult for them to advocate for their rights. By promoting literacy and critical thinking, Rodríguez aimed to help these communities become more aware of their situation and find ways to resist inequality. In his view, education and writing were powerful tools that could lead to social change and greater independence for those who had been excluded from opportunities. Change was his mission, his dream for empowerment
",,,,,,,,
20,simon-rodriguez-imprenta,0.507169429192855,0.6551213014824275,1.4399999999999997,,"Why was Rodriguez eager to incorporate social conscience? ","Rodríguez strongly believed in fairness and social justice. He saw how much inequality existed, especially between the wealthy colonial leaders and the marginalized people. He wanted to address these issues through education, helping those long oppressed. He admired indigenous cultures and their knowledge and wanted to include these perspectives in education. He thought education should reflect the values of all groups in society, helping marginalized communities feel a sense of identity and belonging. Rodríguez believed that people need to engage with social issues for democracy to work well. By promoting social awareness in education, he aimed to create informed citizens who could take part in their communities and impact government decisions. “Society should be the first priority, he argued: the privileging of personal liberty and individual property rights were so often simply smokescreens for a refusal to make a commitment to the community or for the exploitation of others” (M.Nicola, Immoral Educator, pg.5) 
",,,,,,,,
21,florentine-codex-book,0.5420604895650485,0.5650852948031283,1.0801000856000005,,How was Rodriguez influenced by the indigenous cultures of the Aztecs and Incas?,"His admiration for these civilizations stemmed from their advanced systems of governance, social organization, and educational practices. Rodríguez viewed the Aztecs and Incas as examples of societies that thrived without European influence, and he often emphasized their achievements in his writings. He appreciated the indigenous approach to education, which was more holistic and community-oriented compared to the rigid structures of European schooling. Rodríguez believed that incorporating elements of indigenous knowledge and culture was essential for creating an educational system that would empower marginalized communities in Latin America. Additionally, Rodríguez's emphasis on the importance of identity and cultural heritage in education can be traced back to the respect he had for the rich traditions of the Aztecs and Incas. The legacies of the Aztec and Inca civilizations shaped Rodríguez’s vision of a more inclusive and equitable education system, one that recognized and valued the contributions of all cultural groups in society.
",,,,,,,,
22,sa1840educacionen-english-first,0.5007846670261218,0.36016787226328595,1.6666666666666665,,What was Rodriguez's solution to financial hardship?,"To achieve the important goal of teaching fairness and social responsibility in schools, while dealing with the challenges of limited public funding, he suggested a new way to manage schools through cooperation. This plan would involve all parents, encouraging them to financially support the school and work together for their children’s education. In this model, wealthier parents would be asked to give more money to help cover the costs for families who are struggling financially. This way, every child, no matter their family’s income, would have access to a good education, creating equal opportunities for all. Additionally, to help Indigenous communities, the government would set up a program to provide financial support for the education of Indigenous children who had to pay tributes. This would ease some of the financial strain on these families and acknowledge their historical challenges. Overall, this plan aimed to create a supportive school environment where equity and community help were key. By bringing together parents from different financial backgrounds, it hoped to focus on meeting the educational needs of every child, leading to a fairer and more inclusive society.
",,,,,,,,
