object_id,title,alt_text,featured,creator,description,source_url,period,year,medium_genre,subjects,source,credit,thumbnail,dimensions
id_objeto,titulo,texto_alt,destacado,creador,descripcion,url_fuente,periodo,año,medio_genero,temas,fuente,credito,miniatura,dimensiones
# Make it lower-case and avoid spaces. If you are referring to a local object please ensure the object_id matches the name of the file exactly (with or without the file extension – it doesn't matter).,# Please provide a title — this is required.,"# Describe what the image shows for screen readers. Mention the subject and key details. Avoid ""Image of..."" — describe the content directly. If empty, the title is used.","# Mark ""yes"" to feature on homepage",# The person or organization that created the original object.,"# A brief description of the object, shown on the objects page of your published site.",# Here you can include a IIIF manifest and Telar will do the rest of the work for you.,"# The historical period this object belongs to (e.g. ""Colonial period"", ""19th century"").",# In YYYY format — for filtering and sorting chronologically.,"# The medium or genre of the object (e.g. ""Map"", ""Photograph"", ""Engraving"").",# Comma-separated terms for gallery filtering,"# This will be overlaid over the viewer, unless you specify otherwise in _config.yml.","# Attribution line shown on the published site (e.g. ""Courtesy of UCSB Library"").","# Telar generates thumbnails automatically, but you can override this by specifying an image file in this column."
"# Escríbelo en minúsculas y sin espacios. Si hace referencia a un objeto local, asegúrate de que el object_id coincida exactamente con el nombre del archivo (con o sin extensión; no importa).",# Incluye un título: este campo es obligatorio.,"# Describe lo que muestra la imagen para lectores de pantalla. Menciona el sujeto y los detalles clave. Evita ""Imagen de..."" — describe el contenido directamente. Si se deja vacío, se usa el título.","# Marca ""sí"" para destacar en la página de inicio",# La persona u organización que creó el objeto original.,"# Una breve descripción del objeto, que se muestra en la página de objetos de tu sitio publicado.",# Aquí puedes incluir un manifiesto IIIF y Telar se encargará del resto del trabajo.,"# El período histórico al que pertenece este objeto (por ejemplo, ""Período colonial"", ""Siglo XIX"").",# En formato AAAA — para filtrar y ordenar cronológicamente.,"# El medio o género del objeto (por ejemplo, ""Mapa"", ""Fotografía"", ""Grabado"").",# Términos separados por comas para filtrado de galería,"# Esto se mostrará encima del visor, a menos que indiques lo contrario en _config.yml.","# Línea de atribución que se muestra en el sitio publicado (por ejemplo, ""Cortesía de la Biblioteca de UCSB"").","# Telar genera miniaturas automáticamente, pero puedes anular este comportamiento especificando un archivo de imagen en esta columna."
1,Florentine Codex,1,,,,,,,,,,,,
81orwbjlqxlsl1500,81orwbJlQXL._SL1500_,81orwbJlQXL._SL1500_,,,,,,,,,,,,
castas,Castas,Castas,,Simon Rodriguez,,https://drive.google.com/file/d/1zFUgVX-17jQLsEuTs4VG0MbFsDDwPQ0N/view?usp=sharing,,,,,,,,
florentine-codex-book,"Florentine Codex, Book 4 — fol. 82r","Florentine Codex, Book 4 — fol. 82r",,,,https://juancobo.com/138la/iiif/florentine-b04/p174/manifest.json,,,,,"Biblioteca Medicea Laurenziana, Florence (MiBACT)",Getty,"https://media.getty.edu/iiif/image/27ca77e4-6023-4cc4-839f-ae8aa1151ca9/full/400,/0/default.jpg",
guaman-poma-nueva,"Guamán Poma, Nueva corónica y buen gobierno","Guamán Poma, Nueva corónica y buen gobierno",,,,https://juancobo.com/138la/iiif/poma/manifest.json,,,,,"Det Kongelige Bibliotek, Copenhagen",Det Kongelige Bibliotek,"https://s3.us-west-001.backblazeb2.com/juancobo-138la-iiif/poma/poma0000/full/208,279/0/default.jpg",
guaman-poma-nueva-2,"Guamán Poma, Nueva corónica y buen gobierno","Guamán Poma, Nueva corónica y buen gobierno",,,,https://juancobo.com/138la/iiif/poma/manifest.json,,,,,"Det Kongelige Bibliotek, Copenhagen",Det Kongelige Bibliotek,"https://s3.us-west-001.backblazeb2.com/juancobo-138la-iiif/poma/poma0000/full/208,279/0/default.jpg",
guaman-poma-nueva-3,"Guamán Poma, Nueva corónica y buen gobierno","Guamán Poma, Nueva corónica y buen gobierno",,,,https://juancobo.com/138la/iiif/poma/manifest.json,,,,,"Det Kongelige Bibliotek, Copenhagen",Det Kongelige Bibliotek,"https://s3.us-west-001.backblazeb2.com/juancobo-138la-iiif/poma/poma0000/full/208,279/0/default.jpg",
